Genome,Genome ID,Accession,PATRIC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.984","HI0943","VBIHaeInf48452_0984","PATRIC.71421.8.NC_000907.CDS.1002915.1003364.fwd","PATRIC","CDS",1002915,1003364,450,"+","FIG00000382","PLF_724_00000767","PGF_00048643","NP_439103.1",149,"nrdR","Ribonucleotide reductase transcriptional regulator NrdR",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.985","HI0944","VBIHaeInf48452_0985","PATRIC.71421.8.NC_000907.CDS.1003367.1004485.fwd","PATRIC","CDS",1003367,1004485,1119,"+","FIG00000384","PLF_724_00000798","PGF_00423089","NP_439104.1",372,"ribD","Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26) / 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193)","GO:0008703|5-amino-6-(5-phosphoribosylamino)uracil reductase activity;GO:0008835|diaminohydroxyphosphoribosylaminopyrimidine deaminase activity"
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.986","HI0945","VBIHaeInf48452_0986","PATRIC.71421.8.NC_000907.CDS.1004486.1005508.fwd","PATRIC","CDS",1004486,1005508,1023,"+","FIG00020371","PLF_724_00000706","PGF_07313224","NP_439105.1",340,"degS","Outer membrane stress sensor protease DegS",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.94","HI0093","VBIHaeInf48452_0094","PATRIC.71421.8.NC_000907.CDS.100475.101434.rev","PATRIC","CDS",100475,101434,960,"-","FIG00040817","PLF_724_00001566","PGF_07225933","NP_438266.1",319,,"Sugar diacid utilization regulator SdaR","GO:0003700|transcription factor activity"
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.987","HI0946","VBIHaeInf48452_0987","PATRIC.71421.8.NC_000907.CDS.1005582.1006397.rev","PATRIC","CDS",1005582,1006397,816,"-","FIG00035634","PLF_724_00000425","PGF_05740384","NP_439106.1",271,"fpg","Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23)","GO:0008534|oxidized purine base lesion DNA N-glycosylase activity"
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.988","HI0946.1","VBIHaeInf48452_0988","PATRIC.71421.8.NC_000907.CDS.1006630.1008165.rev","PATRIC","CDS",1006630,1008165,1536,"-","FIG00032964","PLF_724_00000459","PGF_00015971","NP_439107.1",511,,"L-2,4-diaminobutyrate decarboxylase (EC 4.1.1.86)",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.989","HI0947","VBIHaeInf48452_0989","PATRIC.71421.8.NC_000907.CDS.1008185.1008583.rev","PATRIC","CDS",1008185,1008583,399,"-","FIG00017962","PLF_724_00001557","PGF_02333019","NP_439108.1",132,"vapC","VapC toxin protein",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.990","HI0948","VBIHaeInf48452_0990","PATRIC.71421.8.NC_000907.CDS.1008583.1008816.rev","PATRIC","CDS",1008583,1008816,234,"-","FIG00004470","PLF_724_00001568","PGF_00702812","NP_439109.1",77,,"VapB protein (antitoxin to VapC)",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.991","HI0949","VBIHaeInf48452_0991","PATRIC.71421.8.NC_000907.CDS.1008963.1010327.rev","PATRIC","CDS",1008963,1010327,1365,"-","FIG00028377","PLF_724_00000464","PGF_00423084","NP_439110.1",454,,"Diaminobutyrate--2-oxoglutarate aminotransferase (EC 2.6.1.76)",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.992","HI0950","VBIHaeInf48452_0992","PATRIC.71421.8.NC_000907.CDS.1010675.1010845.rev","PATRIC","CDS",1010675,1010845,171,"-","FIG01956151","PLF_724_00000235","PGF_00016416","NP_439111.1",56,"rpmG","LSU ribosomal protein L33p @ LSU ribosomal protein L33p, zinc-independent","GO:0003735|structural constituent of ribosome;GO:0005622|intracellular;GO:0005840|ribosome;GO:0006412|translation"
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.993","HI0951","VBIHaeInf48452_0993","PATRIC.71421.8.NC_000907.CDS.1010857.1011093.rev","PATRIC","CDS",1010857,1011093,237,"-","FIG00000266","PLF_724_00000234","PGF_03278866","NP_439112.1",78,"rpmB","LSU ribosomal protein L28p @ LSU ribosomal protein L28p, zinc-independent",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.994","HI0952","VBIHaeInf48452_0994","PATRIC.71421.8.NC_000907.CDS.1011307.1011972.rev","PATRIC","CDS",1011307,1011972,666,"-","FIG00037431","PLF_724_00001311","PGF_10375388","NP_439113.2",221,"radC","UPF0758 protein YicR",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.995","HI0953","VBIHaeInf48452_0995","PATRIC.71421.8.NC_000907.CDS.1012136.1013338.fwd","PATRIC","CDS",1012136,1013338,1203,"+","FIG00000330","PLF_724_00000247","PGF_09111052","NP_439114.1",400,"dfp","Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36) / Phosphopantothenoylcysteine synthetase (EC 6.3.2.5)","GO:0004632|phosphopantothenate--cysteine ligase activity;GO:0004633|phosphopantothenoylcysteine decarboxylase activity"
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.996","HI0954","VBIHaeInf48452_0996","PATRIC.71421.8.NC_000907.CDS.1013386.1013841.fwd","PATRIC","CDS",1013386,1013841,456,"+","FIG00000388","PLF_724_00000347","PGF_01430214","NP_439115.1",151,"dut","Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23)","GO:0004170|dUTP diphosphatase activity"
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.997","HI0955","VBIHaeInf48452_0997","PATRIC.71421.8.NC_000907.CDS.1013845.1014501.fwd","PATRIC","CDS",1013845,1014501,657,"+","FIG01046017","PLF_724_00001110","PGF_00058666","NP_439116.1",218,"slmA","Transcriptional regulator SlmA, TetR family",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.998","HI0956","VBIHaeInf48452_0998","PATRIC.71421.8.NC_000907.CDS.1014523.1014693.fwd","PATRIC","CDS",1014523,1014693,171,"+","FIG00638284","PLF_724_00014018","PGF_06975646","NP_439117.1",56,,"hypothetical protein",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.999","HI0957","VBIHaeInf48452_0999","PATRIC.71421.8.NC_000907.CDS.1014760.1015434.fwd","PATRIC","CDS",1014760,1015434,675,"+","FIG00138461","PLF_724_00001050","PGF_00419891","NP_439118.1",224,"crp","Cyclic AMP receptor protein","GO:0003700|transcription factor activity;GO:0005622|intracellular"
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1000","HI0958","VBIHaeInf48452_1000","PATRIC.71421.8.NC_000907.CDS.1015799.1016977.rev","PATRIC","CDS",1015799,1016977,1179,"-","FIG01288547","PLF_724_00000524","PGF_00415545","NP_439119.1",392,"rumB","23S rRNA (uracil(747)-C(5))-methyltransferase (EC 2.1.1.189)",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1001","HI0959","VBIHaeInf48452_1001","PATRIC.71421.8.NC_000907.CDS.1016970.1018016.rev","PATRIC","CDS",1016970,1018016,1047,"-","FIG00003166","PLF_724_00000787","PGF_05406959","NP_439120.1",348,"exoII","beta-N-acetylglucosaminidase (EC 3.2.1.52)","GO:0004563|beta-N-acetylhexosaminidase activity"
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.95","HI0094","VBIHaeInf48452_0095","PATRIC.71421.8.NC_000907.CDS.101783.102103.rev","PATRIC","CDS",101783,102103,321,"-","FIG00002924","PLF_724_00001785","PGF_01809637","NP_438268.2",106,,"hypothetical protein",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1002","HI0960","VBIHaeInf48452_1002","PATRIC.71421.8.NC_000907.CDS.1018029.1018379.rev","PATRIC","CDS",1018029,1018379,351,"-","FIG00696669","PLF_724_00001356","PGF_01809567","NP_439121.1",116,,"hypothetical protein",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1003","HI0961","VBIHaeInf48452_1003","PATRIC.71421.8.NC_000907.CDS.1018379.1018729.rev","PATRIC","CDS",1018379,1018729,351,"-","FIG00008590","PLF_724_00001196","PGF_00567182","NP_439122.2",116,,"YcfF/hinT protein: a purine nucleoside phosphoramidase",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1004",,"VBIHaeInf48452_1004","PATRIC.71421.8.NC_000907.CDS.1018846.1021371.rev","PATRIC","CDS",1018846,1021371,2526,"-","FIG00000085","PLF_724_00000231","PGF_05171623",,841,,"Isoleucyl-tRNA synthetase (EC 6.1.1.5)","GO:0004822|isoleucine-tRNA ligase activity"
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1005","HI0963","VBIHaeInf48452_1005","PATRIC.71421.8.NC_000907.CDS.1021700.1022626.rev","PATRIC","CDS",1021700,1022626,927,"-","FIG00000220","PLF_724_00000972","PGF_02623406","NP_439124.1",308,"ribF","FMN adenylyltransferase (EC 2.7.7.2) / Riboflavin kinase (EC 2.7.1.26)","GO:0003919|FMN adenylyltransferase activity;GO:0008531|riboflavin kinase activity"
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.96",,"VBIHaeInf48452_0096","PATRIC.71421.8.NC_000907.CDS.102245.102364.fwd","PATRIC","CDS",102245,102364,120,"+","FIG01402184","PLF_724_00013973","PGF_02919100",,39,,"hypothetical protein",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1006","HI0964","VBIHaeInf48452_1006","PATRIC.71421.8.NC_000907.CDS.1022673.1024205.rev","PATRIC","CDS",1022673,1024205,1533,"-","FIG00001204","PLF_724_00000823","PGF_07235150","NP_439125.1",510,"mviN","Peptidoglycan lipid II flippase MurJ",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1007","HI0965","VBIHaeInf48452_1007","PATRIC.71421.8.NC_000907.CDS.1024514.1024777.fwd","PATRIC","CDS",1024514,1024777,264,"+","FIG00000213","PLF_724_00000374","PGF_02454577","NP_439126.2",87,"rpsT","SSU ribosomal protein S20p","GO:0003723|RNA binding;GO:0003735|structural constituent of ribosome;GO:0005622|intracellular;GO:0005840|ribosome;GO:0006412|translation"
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.97","HI0095","VBIHaeInf48452_0097","PATRIC.71421.8.NC_000907.CDS.102453.103208.rev","PATRIC","CDS",102453,103208,756,"-","FIG01303154","PLF_724_00001260","PGF_00049542","NP_438269.1",251,,"SAM-dependent methyltransferase HI0095 (UbiE paralog)",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1008","HI0966","VBIHaeInf48452_1008","PATRIC.71421.8.NC_000907.CDS.1024850.1025416.rev","PATRIC","CDS",1024850,1025416,567,"-","FIG00696143","PLF_724_00001028","PGF_00388827","NP_439127.1",188,,"Uncharacterized protein HI_0966",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1009","HI0968","VBIHaeInf48452_1009","PATRIC.71421.8.NC_000907.CDS.1025562.1026419.fwd","PATRIC","CDS",1025562,1026419,858,"+","FIG00071623","PLF_724_00000176","PGF_04797267","NP_439129.1",285,"menB","Naphthoate synthase (EC 4.1.3.36)","GO:0008935|naphthoate synthase activity"
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1010","HI0969","VBIHaeInf48452_1010","PATRIC.71421.8.NC_000907.CDS.1026452.1027477.fwd","PATRIC","CDS",1026452,1027477,1026,"+","FIG01306622","PLF_724_00000611","PGF_03374975","NP_439130.2",341,"menC","O-succinylbenzoate synthase (EC 4.2.1.113)",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1011","HI0970","VBIHaeInf48452_1011","PATRIC.71421.8.NC_000907.CDS.1027535.1027984.fwd","PATRIC","CDS",1027535,1027984,450,"+","FIG00000430","PLF_724_00001034","PGF_00417577","NP_439131.1",149,"aroQ","3-dehydroquinate dehydratase II (EC 4.2.1.10)",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1012","HI0971","VBIHaeInf48452_1012","PATRIC.71421.8.NC_000907.CDS.1028137.1028604.fwd","PATRIC","CDS",1028137,1028604,468,"+","FIG00000411","PLF_724_00000161","PGF_00648021","NP_439132.1",155,"accB","Biotin carboxyl carrier protein of acetyl-CoA carboxylase",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1013","HI0972","VBIHaeInf48452_1013","PATRIC.71421.8.NC_000907.CDS.1028779.1030125.fwd","PATRIC","CDS",1028779,1030125,1347,"+","FIG00000420","PLF_724_00000110","PGF_07396749","NP_439133.1",448,"accC","Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14)","GO:0004075|biotin carboxylase activity"
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1014","HI0973","VBIHaeInf48452_1014","PATRIC.71421.8.NC_000907.CDS.1030806.1031144.fwd","PATRIC","CDS",1030806,1031144,339,"+","FIG00003433","PLF_724_00005928","PGF_01810649","NP_439134.1",112,,"Periplasmic protein TonB, links inner and outer membranes",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1015",,"VBIHaeInf48452_1015","PATRIC.71421.8.NC_000907.CDS.1031208.1032314.fwd","PATRIC","CDS",1031208,1032314,1107,"+","FIG00555909","PLF_724_00016235","PGF_03687991",,368,,"FIG140336: TPR domain protein",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1016","HI0974.1","VBIHaeInf48452_1016","PATRIC.71421.8.NC_000907.CDS.1032765.1033022.fwd","PATRIC","CDS",1032765,1033022,258,"+","FIG00003021","PLF_724_00001132","PGF_01603132","NP_439136.1",85,,"Uncharacterized protein YhdT",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1017","HI0975","VBIHaeInf48452_1017","PATRIC.71421.8.NC_000907.CDS.1033019.1034473.fwd","PATRIC","CDS",1033019,1034473,1455,"+","FIG00001822","PLF_724_00001088","PGF_04620152","NP_439137.1",484,"panF","Pantothenate:Na+ symporter (TC 2.A.21.1.1)","GO:0005215|transporter activity;GO:0006810|transport;GO:0016020|membrane"
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.98",,"VBIHaeInf48452_0098","PATRIC.71421.8.NC_000907.CDS.103317.103433.rev","PATRIC","CDS",103317,103433,117,"-","FIG00638284","PLF_724_00003815","PGF_05725250",,38,,"hypothetical protein",
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1018","HI0976","VBIHaeInf48452_1018","PATRIC.71421.8.NC_000907.CDS.1034593.1034979.fwd","PATRIC","CDS",1034593,1034979,387,"+","FIG00846773","PLF_724_00001179","PGF_07201805","NP_439138.1",128,,"Permease of the drug/metabolite transporter (DMT) superfamily","GO:0016020|membrane"
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.1019","HI0976.1","VBIHaeInf48452_1019","PATRIC.71421.8.NC_000907.CDS.1034952.1035464.fwd","PATRIC","CDS",1034952,1035464,513,"+","FIG00846773","PLF_724_00001179","PGF_07201805","NP_439139.1",170,,"Permease of the drug/metabolite transporter (DMT) superfamily","GO:0016020|membrane"
"Haemophilus influenzae Rd KW20","71421.8","NC_000907","fig|71421.8.peg.99","HI0096","VBIHaeInf48452_0099","PATRIC.71421.8.NC_000907.CDS.103542.104117.fwd","PATRIC","CDS",103542,104117,576,"+","FIG00696264","PLF_724_00001316","PGF_08225224","NP_438270.1",191,,"hypothetical protein",
